"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","135","181","1,749","13.0","92","29","12","14","113","2","2","17","268.2","15.8","100.0%"
"2","Tyreek Hill (MIA)","119","171","1,799","15.1","78","29","13","6","15","0","1","16","257.4","16.1","100.0%"
"3","Amon-Ra St. Brown (DET)","119","164","1,515","12.7","70","24","10","4","24","0","1","16","211.9","13.2","100.0%"
"4","Mike Evans (TB)","79","136","1,255","15.9","75","20","13","0","0","0","0","17","203.5","12.0","98.1%"
"5","Puka Nacua (LAR)","105","160","1,486","14.2","80","25","6","12","89","0","0","17","193.5","11.4","96.9%"
"6","DJ Moore (CHI)","96","136","1,364","14.2","58","25","8","4","21","1","1","17","190.5","11.2","97.7%"
"7","Deebo Samuel Sr. (SF)","60","89","892","14.9","54","15","7","37","225","5","0","15","183.7","12.2","98.7%"
"8","A.J. Brown (PHI)","106","158","1,456","13.7","59","21","7","0","0","0","2","17","183.6","10.8","99.9%"
"9","Nico Collins (HOU)","80","109","1,297","16.2","75","25","8","1","7","0","0","15","180.4","12.0","95.6%"
"10","Brandon Aiyuk (SF)","75","105","1,342","17.9","76","28","7","0","0","0","1","16","174.2","10.9","98.2%"
"11","Keenan Allen (CHI)","108","150","1,243","11.5","42","19","7","2","6","0","1","13","170.9","13.1","91.0%"
"12","Stefon Diggs (HOU)","107","160","1,183","11.1","55","10","8","1","5","0","1","17","166.8","9.8","99.7%"
"13","Ja'Marr Chase (CIN)","100","145","1,216","12.2","76","14","7","3","-6","0","0","16","162.7","10.2","99.4%"
"14","Davante Adams (LV)","103","175","1,144","11.1","46","13","8","0","0","0","0","17","162.4","9.6","99.9%"
"15","DK Metcalf (SEA)","66","119","1,114","16.9","73","19","8","0","0","0","0","16","159.4","10.0","98.5%"
"16","Amari Cooper (CLE)","72","128","1,250","17.4","75","21","5","0","0","0","1","15","155.0","10.3","91.6%"
"17","Calvin Ridley (TEN)","76","136","1,016","13.4","59","17","8","9","23","0","0","17","153.9","9.1","95.1%"
"18","Jayden Reed (GB)","64","94","793","12.4","59","13","8","11","119","2","0","16","153.2","9.6","77.4%"
