"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sam LaPorta (DET)","86","120","889","10.3","48","8","10","1","4","0","0","17","153.3","9.0","98.9%"
"2","George Kittle (SF)","65","90","1,020","15.7","66","18","6","1","2","0","0","16","138.2","8.6","97.4%"
"3","Travis Kelce (KC)","93","121","984","10.6","53","12","5","0","0","0","1","15","126.4","8.4","99.9%"
"4","T.J. Hockenson (MIN)","95","127","960","10.1","29","13","5","0","0","0","1","15","124.0","8.3","81.3%"
"5","David Njoku (CLE)","81","123","882","10.9","43","12","6","0","0","0","2","16","120.2","7.5","93.7%"
"6","Evan Engram (JAC)","114","143","963","8.4","34","9","4","0","0","0","2","17","116.3","6.8","96.5%"
"7","Taysom Hill (NO)","33","40","291","8.8","36","2","2","81","401","4","1","16","110.5","6.9","35.8%"
"8","Cole Kmet (CHI)","73","90","719","9.8","53","9","6","3","2","0","0","17","108.1","6.4","70.1%"
"9","Jake Ferguson (DAL)","71","102","761","10.7","40","8","5","0","0","0","0","17","106.1","6.2","89.6%"
"10","Trey McBride (ARI)","81","106","825","10.2","38","9","3","0","0","0","0","17","100.5","5.9","91.2%"
"11","Dalton Schultz (HOU)","59","88","635","10.8","31","7","5","0","0","0","1","15","91.5","6.1","75.8%"
"12","Mark Andrews (BAL)","45","61","544","12.1","38","8","6","1","0","0","0","10","90.4","9.0","73.3%"
"13","Kyle Pitts (ATL)","53","90","667","12.6","39","7","3","1","-4","0","0","17","84.3","5.0","88.2%"
"14","Hunter Henry (NE)","42","61","419","10.0","24","2","6","0","0","0","0","14","77.9","5.6","15.1%"
"15","Dalton Kincaid (BUF)","73","91","673","9.2","51","5","2","0","0","0","1","16","77.3","4.8","86.2%"
"16","Dallas Goedert (PHI)","59","83","592","10.0","49","6","3","1","1","0","0","14","77.3","5.5","89.4%"
"17","Jonnu Smith (MIA)","50","70","582","11.6","60","4","3","1","0","0","1","17","74.2","4.4","8.0%"
"18","Logan Thomas (SF)","55","78","496","9.0","29","3","4","1","2","0","2","16","71.8","4.5","19.2%"
"19","Isaiah Likely (BAL)","30","40","411","13.7","54","6","5","0","0","0","0","17","71.1","4.2","37.0%"
"20","Cade Otton (TB)","47","67","455","9.7","27","6","4","0","0","0","1","17","69.5","4.1","16.5%"
"21","Tyler Conklin (NYJ)","61","87","621","10.2","37","7","0","1","0","0","0","17","62.1","3.7","16.8%"
"22","Tyler Higbee (LAR)","47","70","495","10.5","33","6","2","0","0","0","0","15","61.5","4.1","19.6%"
"23","Darren Waller (FA)","52","74","552","10.6","29","8","1","0","0","0","0","12","61.2","5.1","47.3%"
"24","Juwan Johnson (NO)","37","59","368","9.9","32","7","4","0","0","0","0","13","60.8","4.7","9.5%"
"25","Gerald Everett (CHI)","51","70","411","8.1","31","4","3","3","10","0","0","15","60.1","4.0","23.4%"
"26","Chigoziem Okonkwo (TEN)","54","77","528","9.8","39","6","1","2","6","0","0","17","59.4","3.5","23.7%"
"27","Donald Parham Jr. (LAC)","27","41","285","10.6","24","2","4","0","0","0","0","14","52.5","3.8","1.1%"
"28","Tucker Kraft (GB)","31","40","355","11.5","43","5","2","0","0","0","0","17","47.5","2.8","11.3%"
"29","Pat Freiermuth (PIT)","32","47","308","9.6","29","3","2","0","0","0","0","12","44.8","3.7","57.9%"
"30","Michael Mayer (LV)","27","40","304","11.3","32","2","2","0","0","0","0","14","44.4","3.2","4.4%"
"31","Kylen Granson (IND)","30","50","368","12.3","46","5","1","1","2","0","0","15","43.0","2.9","0.6%"
"32","Noah Gray (KC)","28","41","305","10.9","34","4","2","1","1","0","0","17","42.6","2.5","0.8%"
"33","Noah Fant (SEA)","32","43","414","12.9","51","7","0","0","0","0","0","17","41.4","2.4","2.1%"
"34","Luke Musgrave (GB)","34","46","352","10.4","37","5","1","0","0","0","0","11","41.2","3.7","8.1%"
"35","Tanner Hudson (CIN)","39","50","352","9.0","26","3","1","0","0","0","0","12","41.2","3.4","2.7%"
"36","Adam Trautman (DEN)","22","35","204","9.3","24","2","3","0","0","0","0","17","38.4","2.3","0.2%"
"37","Tommy Tremble (CAR)","23","32","194","8.4","30","2","3","0","0","0","0","16","37.4","2.3","0.3%"
"38","Colby Parkinson (LAR)","25","34","247","9.9","27","5","2","0","0","0","0","17","36.7","2.2","0.6%"
"39","Durham Smythe (MIA)","35","43","366","10.5","22","3","0","0","0","0","0","16","36.6","2.3","0.6%"
"40","Mike Gesicki (CIN)","29","45","244","8.4","18","0","2","0","0","0","0","17","36.4","2.1","2.2%"
"41","Mo Alie-Cox (IND)","13","22","161","12.4","35","2","3","0","0","0","0","17","36.1","2.1","0.1%"
"42","Brevin Jordan (HOU)","17","21","219","12.9","27","3","2","0","0","0","0","13","33.9","2.6","5.1%"
"43","Dawson Knox (BUF)","22","36","186","8.5","17","0","2","0","0","0","0","12","32.6","2.7","4.6%"
"44","Josh Oliver (MIN)","22","28","213","9.7","33","3","2","0","0","0","1","17","31.3","1.8","0.6%"
"45","Drew Sample (CIN)","22","27","163","7.4","22","1","2","0","0","0","0","17","28.3","1.7","0.1%"
"46","Jimmy Graham (FA)","6","7","39","6.5","12","0","4","0","0","0","0","13","27.9","2.1","0.0%"
"47","Andrew Beck (HOU)","11","13","55","5.0","26","1","2","5","3","1","1","15","27.8","1.9","0.1%"
"48","Drew Ogletree (IND)","9","21","147","16.3","33","4","2","0","0","0","0","12","26.7","2.2","0.1%"
"49","Daniel Bellinger (NYG)","25","28","255","10.2","26","4","0","0","0","0","0","17","25.5","1.5","0.8%"
"50","Foster Moreau (NO)","21","25","193","9.2","23","1","1","0","0","0","0","15","25.3","1.7","0.1%"
"51","Harrison Bryant (LV)","13","20","81","6.2","23","1","3","5","8","0","1","17","24.9","1.5","0.1%"
"52","Pharaoh Brown (SEA)","13","15","208","16.0","58","5","1","0","0","0","1","17","24.8","1.5","0.1%"
"53","Zach Ertz (WAS)","27","43","187","6.9","17","0","1","0","0","0","0","7","24.7","3.5","3.4%"
"54","Hayden Hurst (LAC)","18","32","184","10.2","48","1","1","0","0","0","0","10","24.4","2.4","2.2%"
"55","Austin Hooper (NE)","25","31","234","9.4","21","2","0","0","0","0","0","17","23.4","1.4","0.3%"
"56","Will Dissly (LAC)","17","22","172","10.1","21","2","1","0","0","0","0","16","23.2","1.5","0.2%"
"57","Johnny Mundt (MIN)","17","23","172","10.1","32","2","1","0","0","0","0","17","23.2","1.4","1.5%"
"58","Elijah Higgins (ARI)","14","19","163","11.6","26","3","1","0","0","0","0","11","22.3","2.0","0.1%"
"59","Stone Smartt (LAC)","11","21","155","14.1","51","3","1","0","0","0","0","16","21.5","1.3","0.1%"
"60","Will Mallory (IND)","18","26","207","11.5","43","1","0","0","0","0","0","12","20.7","1.7","0.1%"
"61","Luke Schoonmaker (DAL)","8","15","65","8.1","18","0","2","0","0","0","0","17","18.5","1.1","0.4%"
"62","MyCole Pruitt (PIT)","9","12","110","12.2","22","2","1","0","0","0","0","17","17.0","1.0","0.0%"
"63","Connor Heyward (PIT)","23","34","167","7.3","13","0","0","1","0","0","0","17","16.7","1.0","0.2%"
"64","Lucas Krull (DEN)","8","14","95","11.9","35","1","1","0","0","0","0","7","15.5","2.2","0.1%"
"65","Davis Allen (LAR)","10","11","95","9.5","21","1","1","0","0","0","0","15","15.5","1.0","0.1%"
"66","Irv Smith Jr. (KC)","18","26","115","6.4","14","0","1","0","0","0","1","12","15.5","1.3","1.7%"
"67","Luke Farrell (JAC)","13","15","155","11.9","42","2","0","0","0","0","0","17","15.5","0.9","0.1%"
"68","Josh Whyle (TEN)","9","15","94","10.4","24","1","1","0","0","0","0","11","15.4","1.4","0.1%"
"69","Jeremy Ruckert (NYJ)","16","22","151","9.4","23","1","0","0","0","0","0","15","15.1","1.0","0.2%"
"70","Brock Wright (DET)","13","14","91","7.0","25","1","1","0","0","0","0","14","15.1","1.1","0.2%"
"71","John Bates (WAS)","19","28","151","7.9","35","1","0","0","0","0","0","17","15.1","0.9","0.0%"
"72","Charlie Kolar (BAL)","7","9","87","12.4","19","0","1","0","0","0","0","14","14.7","1.1","0.1%"
"73","Jordan Akins (CLE)","15","23","132","8.8","28","1","0","0","0","0","0","17","13.2","0.8","0.1%"
"74","Stephen Sullivan (CAR)","12","24","125","10.4","20","1","0","0","0","0","0","11","12.5","1.1","0.1%"
"75","Cole Turner (WAS)","11","15","120","10.9","29","2","0","0","0","0","0","12","12.0","1.0","0.0%"
"76","C.J. Uzomah (PHI)","8","12","58","7.3","19","0","1","0","0","0","0","12","11.8","1.0","0.1%"
"77","Robert Tonyan (MIN)","11","17","112","10.2","24","1","0","0","0","0","0","17","11.2","0.7","0.1%"
"78","Brenton Strange (JAC)","5","9","35","7.0","17","0","1","0","0","0","0","14","9.5","0.7","0.1%"
"79","Geoff Swaim (FA)","10","11","94","9.4","26","1","0","0","0","0","0","14","9.4","0.7","0.0%"
"80","Marcedes Lewis (CHI)","4","5","29","7.3","16","0","1","0","0","0","0","17","8.9","0.5","0.1%"
"81","Quintin Morris (BUF)","2","3","26","13.0","15","0","1","0","0","0","0","15","8.6","0.6","0.1%"
"82","Ben Sims (GB)","4","6","21","5.3","12","0","1","0","0","0","0","16","8.1","0.5","0.1%"
"83","Brycen Hopkins (FA)","5","7","78","15.6","29","2","0","0","0","0","0","15","7.8","0.5","0.0%"
"84","Blake Bell (FA)","5","9","26","5.2","8","0","1","0","0","0","1","17","6.6","0.4","0.0%"
"85","Josiah Deguara (JAC)","8","8","65","8.1","19","0","0","0","0","0","0","15","6.5","0.4","0.0%"
"86","Ko Kieft (TB)","1","5","2","2.0","2","0","1","0","0","0","0","16","6.2","0.4","0.1%"
"87","Darnell Washington (PIT)","7","10","61","8.7","12","0","0","0","0","0","0","17","6.1","0.4","0.3%"
